Unique ID,First Name,Last Name,Email,Registration Code,Show on Attendee List,Company Name,Job Title,Brief Bio,Work Phone,Mobile Phone,Other Phone,Other Phone Type,Address,Address 2,City,State,Zipcode,Country,Website,Website 2,Linkedin URL,Twitter URL,Facebook URL,Group List (comma-separated)
B2,B2,Test,ccbughunt+b2@gmail.com,"",true,,,,,,,,,,,,,,,,,,,users
B4,B4,Test,ccbughunt+b4@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B6,B6,Test,ccbughunt+b6@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B7,B7,Test,ccbughunt+b7@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B8,B8,Test,ccbughunt+b8@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B9,B9,Test,ccbughunt+b9@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B10,B10,Test,ccbughunt+b10@gmail.com,"",true,,,,,,,,,,,,,,,,,,,yo reggie
B11,B11,Test,ccbughunt+b11@gmail.com,"",true,,,,,,,,,,,,,,,,,,,b10's
B13,B13,Test,ccbughunt+b13@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B1,B1,Test,ccbughunt+b1@gmail.com,"",true,,,,,,,,,,,,,,,,,,,users
B12,B12,Test,ccbughunt+b12@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B3,B3,Test,ccbughunt+b3@gmail.com,"",true,,,,,,,,,,,,,,,,,,,
B5,B5,Test,ccbughunt+b5@gmail.com,"",true,,,,,,,,,,,,,,,,,,,users
